ticker,longName,currency,sector,industry,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,dividendYield,freeCashflow,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,earningsGrowth,revenueGrowth,trailingEps,forwardEps,longBusinessSummary
ALV.DE,Allianz SE,EUR,Financial Services,Insurance - Diversified,168706523136.0,14.583606,13.297184,2.6742017,3.348,3.81,9307124736.0,0.19612,0.01228,0.098780006,0.13683,50.648,-0.08,0.121,30.5,33.45069,"Allianz SE, together with its subsidiaries, provides property-casualty insurance, life/health insurance, and asset management products and services worldwide. The company's Property-Casualty segment offers various insurance products, including motor liability, accident, fire and property, general liability, credit, and travel, and assistance services to private and corporate customers. Its Life/Health segment provides a range of life and health insurance products on an individual and a group basis, such as annuities, endowment and term insurance, and unit-linked and investment-oriented products, as well as private and supplemental health, and long-term care insurance products. The company's Asset Management segment offers institutional and retail asset management products and services to third-party investors comprising equity and fixed income funds, cash, and multi-assets; and alternative investment products that include real estate, infrastructure debt/equity, real assets, liquid alternatives, and solutions business. In addition, it provides banking services for retail clients; and digital investment services. Allianz SE was founded in 1890 and is headquartered in Munich, Germany."
SU.PA,Schneider Electric S.E.,EUR,Industrials,Specialty Industrial Machinery,162625060864.0,34.004715,23.772783,6.6363244,20.891,1.5,5374750208.0,0.18620001,0.074,0.11270001,0.18199,84.124,0.293,0.098,8.49,12.14414,"Schneider Electric S.E. engages in the energy management and industrial automation businesses worldwide. The company offers inverters, mounting frames, solar panels, other solar equipment, wind farm microgrid, and others; building management systems; power metering systems for buildings; smart monitoring and regulation of electricity or heat in buildings, such as thermostats and controls for lighting systems; cooling systems; insulating products; UPS; transmission and distribution wiring devices for wiring electrical circuits; low voltage electrical products, equipment, and systems; medium voltage switchgears and control gears; demand response and load shifting equipment, systems, and services; communication, software and control equipment, products, systems, and services for energy; and variable speed drives. It also provides modernization and maintenance services for rail transport infrastructure, zero-emissions road transport, infrastructure required for operating urban transport, low-carbon port and airport infrastructure, and electrification and ports' operations; energy management equipment and projects; service plans related to building management and power metering systems in buildings; software and data-driven solutions for building design, planning, and construction; technical consultations, such as energy audits, simulations, and trainings; energy management services; energy performance contracts; leakage control technologies for water supply systems; real-time network modeling and optimization; leakage calculation, control, and reporting; electrical and electronic equipment; remote monitoring and predictive maintenance systems; lifecycle performance management software; product repairing, refurbishing, or remanufacturing services; spare parts; and software as a service. Schneider Electric S.E. was founded in 1836 and is headquartered in Rueil-Malmaison, France."
RR.L,Rolls-Royce Holdings plc,GBp,Industrials,Aerospace & Defense,120932573184.0,40.79444,29.823528,42.81633,23.737,0.83,4602500096.0,1.14485,0.07796,0.13114999,0.21104,151.735,-0.63,0.206,0.36,0.49243,"Rolls-Royce Holdings plc designs and manages mission-critical power systems in the United Kingdom and internationally. The company operates through three segments: Civil Aerospace, Defence, and Power Systems. The Civil Aerospace segment develops, manufactures, markets, and sells aero engines for large commercial aircraft, regional jet, and business aviation markets, as well as provides aftermarket services. The Defence segment is involved in the development, manufacture, marketing, and sale of military aero engines, naval engines, and submarine nuclear power plants, as well as offers aftermarket services. The Power Systems segment engages in the development, manufacture, marketing, and sale of integrated solutions for onsite power and propulsion under the mtu brand name. Rolls-Royce Holdings plc was founded in 1884 and is headquartered in London, the United Kingdom."
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",EUR,Financial Services,Banks - Diversified,138288726016.0,13.259259,10.897974,2.4558995,,3.72,,0.18924,0.01354,0.32562,0.56409,,0.152,0.202,1.89,2.29951,"Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides various financial services in Spain, Mexico, Turkey, South America, Europe, the United States, and Asia. The company offers traditional retail, wholesale, investment, and transaction banking. It also engages in financial, insurance, asset management, and capital markets businesses, as well as digital banking. The company was formerly known as Banco Bilbao Vizcaya, S.A. and changed its name to Banco Bilbao Vizcaya Argentaria, S.A. in January 2000. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain."
UBSG.SW,UBS Group AG,CHF,Financial Services,Banks - Diversified,129664770048.0,17.572613,12.121056,1.7937163,,2.06,,0.10672,0.00566,0.17949,0.30999002,,0.206,0.146,2.41,3.49392,"UBS Group AG operates as a wealth manager and bank worldwide. It operates through five segments: Global Wealth Management, Personal & Corporate Banking, Asset Management, Investment Bank, and Non-Core and Legacy. The Global Wealth Management segment offers financial services, advice, and solutions; investment management, estate planning, and corporate advice services; and wealth management and banking products and services to private wealth and institutional customers. Its Personal & Corporate Banking segment provides banking, retirement, financing, investments, and strategic transactions to private, corporate, and institutional customers through its branch network and digital channels in Switzerland. The Asset Management segment offers diversified asset management services. Its Investment Bank segment provides equities, foreign exchange, precious metals, research, advisory, and capital markets services to institutional, corporate, financial sponsor, and Global Wealth Management customers, as well as focused rates and credit platform. The company also offers lending products, such as securities-based lending, mortgages, structured products, and tailored solutions; collateralized lending residential and commercial real estate, primarily against securities, residential and commercial real estate, other real assets (such as ships and aircraft), private market and hedge fund interest; and unsecured lending. The company was formerly known as UBS AG and changed its name to UBS Group AG in December 2014. UBS Group AG was founded in 1862 and is headquartered in Zurich, Switzerland."
ABBN.SW,ABB Ltd,CHF,Industrials,Electrical Equipment & Parts,146708037632.0,36.495495,27.447159,11.290821,20.722,1.2,1570499968.0,0.32575,0.08951,0.14086,0.16908,55.751,0.082,0.142,2.22,2.9518538,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Europe, the Americas, Asia, the Middle East, and Africa. The company operates through Electrification, Motion, and Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Automation segment offers industry-specific, integrated automation, electrification and digital solutions, as well as lifecycle services for the process, hybrid and marine industries. This segment also provides control technologies; process, machine and factory automation; industrial software; advanced analytics; sensing and measurement technology; and marine propulsion systems; services such as remote monitoring, preventive maintenance, asset performance management, emission monitoring and cybersecurity. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, food and beverage, space, power generation, water, marine, and ports industries. The company was founded in 1883 and is headquartered in Zurich, Switzerland."
IBE.MC,"Iberdrola, S.A.",EUR,Utilities,Utilities - Diversified,136132091904.0,25.5,18.731062,2.6363401,13.854,3.36,2561499904.0,0.10022,0.03822,0.15883,0.2447,100.03,0.683,0.098,0.8,1.0891,"Iberdrola, S.A. engages in the generation, production, transmission, distribution, and supply of electricity in Spain, the United Kingdom, the United States, Mexico, Brazil, Germany, France, and Australia. It generates electricity from renewable sources, such as onshore and offshore wind, photovoltaic, hydro, other energy sources, conventional nuclear, and combined cycle plants, as well as through batteries. The company is involved in the purchase and sale of electricity and gas on wholesale markets; energy retail supply activities, such as gas and electricity, and other products and services, including hydrogen, as well as non-renewable generation; and production of green hydrogen. It has a total installed capacity of 46,177 MW. In addition, the company offers heat pumps, self-consumption, solar, electric mobility, solar, etc. services to residential customers; and management of energy facilities, as well as supplies green H2, industrial heat, etc. to industrial customers. Iberdrola, S.A. was founded in 1840 and is headquartered in Bilbao, Spain."
UCG.MI,UniCredit S.p.A.,EUR,Financial Services,Banks - Regional,125718044672.0,11.808783,9.8970175,1.7737921,,3.8,,0.15779,0.012259999,0.43967998,0.68882006,,-0.105,-0.092,7.06,8.42375,"UniCredit S.p.A. provides commercial banking services in Italy, Germany, Central Europe, and Eastern Europe. The company offers retail, private, and wealth management solutions; and institutional investor solutions. It also provides corporate finance advisory, rating advisory, financial sponsor, patient capital, capital structure advisory, and sustainable finance solutions, as well as securities services. In addition, the company offers transactional and risk management, structured finance, debt funding, equity funding, project finance, commodity trade finance, and trade and export finance services; group trade and correspondent banking services; and payments solutions. It serves SME, corporate, multinational corporate, financial institution, and public sector clients, as well as retail, private banking, wealth management, and family office clients. It has a strategic collaboration with Accenture plc and International Business Machines to establish a new technology operating model combining the resilience of mission-critical systems with the flexibility of cloud, data, and artificial intelligence. UniCredit S.p.A. was founded in 1870 and is headquartered in Milan, Italy."
SAF.PA,Safran SA,EUR,Industrials,Aerospace & Defense,136578269184.0,35.44086,25.357279,9.415797,22.293,1.03,3562749952.0,0.2749,0.04774,0.11564,0.14601,33.745,-0.651,0.16,9.3,12.99824,"Safran SA, together with its subsidiaries, engages in the aerospace and defense businesses in France, rest of Europe, the Americas, the Asia-Pacific, Africa, and the Middle East. The company operates through three segments: Aerospace Propulsion; Aircraft Equipment, Defense and Aerosystems; and Aircraft Interiors. The Aerospace Propulsion segment designs, develops, produces, and markets propulsion and mechanical power transmission systems for commercial aircraft, military transport, training and combat aircraft, civil and military helicopters, and drones; and offers maintenance, repair, and overhaul (MRO) services, as well as sells spare parts. The Aircraft Equipment, Defense and Aerosystems segment provides landing gears and brakes; nacelles and reversers; avionics, such as flight controls and onboard information systems; security systems, including evacuation slides and oxygen masks; onboard computers and fuel systems; electrical power management systems and related engineering services; optronic equipment and sights, navigation equipment and sensors, infantry, and drones; MRO services; and sells spare parts. The Aircraft Interiors segment designs, develops, manufactures, and markets aircraft seats for passengers and crew; cabin equipment, overhead bins, class dividers, passenger service units, cabin interior solutions, chilling systems, galleys, electrical inserts, and trolleys; and cabin equipment and passenger comfort-focused solutions such as water distribution, lavatories, air systems, and in-flight entertainment and connectivity (IFEC) solutions. The company's products and services are used in commercial civil and military aircrafts, and helicopters. Safran SA was founded in 1896 and is headquartered in Paris, France."
ULVR.L,Unilever PLC,GBp,Consumer Defensive,Household & Personal Products,99147063296.0,21.025112,15.596885,7.1486855,11.772,3.56,6732624896.0,0.31869,0.08287,0.18319,0.20345,175.397,-0.056,0.005,2.19,2.952192,"Unilever PLC operates as a fast-moving consumer goods company in the Asia Pacific, Africa, the Americas, and Europe. It operates through four segments: Beauty & Wellbeing, Personal Care, Home Care, and Foods. The Beauty & Wellbeing segment offers hair care, such as shampoo, conditioner, and styling; face, hand, and body moisturizer skin care products; and Prestige Beauty and Wellbeing products. The Personal Care segment provides soap and shower skin cleansing products; and deodorant and oral care, including toothpaste, toothbrush, and mouthwash products. The Home Care segment offers washing powders and liquids, and rinse conditioner fabric care products; and a range of home and hygiene cleaning products. The Foods segment provides cooking aids and mini meals comprising soups, bouillons, and seasonings, as well as mayonnaise and ketchup condiments; and Unilever food solutions. The company provides its products under the AXE, Clear, Cif, Closeup, Comfort, Dermalogica, Domestos, Dove, Dove Men+Care, Hellmann's, Horlicks, Knorr, LUX, Lifebuoy, Liquid I.V., Nexxus, Nutrafol, OMO, Pond's, Paula's Choice, Pepsodent, Radiant, Rexona, Sunlight, Sunsilk, Surf, TRESemmé, and Vaseline brand names. Unilever PLC was founded in 1860 and is headquartered in London, the United Kingdom."
NOVO-B.CO,Novo Nordisk A/S,DKK,Healthcare,Drug Manufacturers - General,1244515401728.0,10.731429,12.919038,5.637157,7.67,4.29,37673250816.0,0.59815,0.18729,0.35347,0.42540002,63.327,-0.206,0.021,26.25,21.80503,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products. It operates through two segments, Obesity and Diabetes Care, and Rare Disease. The Obesity and Diabetes care segment provides products for diabetes, obesity, cardiovascular, and other emerging therapy areas. The Rare Disease segment offers products in the areas of rare blood disorders, rare endocrine disorders, and hormone replacement therapy. The company also provides NovoPen 6 and NovoPen Echo Plus, smart insulin pens; Dose Check, an insulin dose guidance application; growth hormone pens and injection needles; and Wegovy pill an oral glucagon-like peptide-1 (GLP-1) receptor agonist therapy for weight management. The company has a collaboration with Anthropic accelerate the development of new medicines and advance AI-driven software development. It operates in Europe, Canada, the United States, Japan, Korea, Oceania, Southeast Asia, Mainland China, Hong Kong and Taiwan, Latin America, the Middle East, and Africa. The company was formerly known as Novo Industri A/S and changed its name to Novo Nordisk A/S in April 1989. The company was founded in 1923 and is headquartered in Bagsvaerd, Denmark."
AIR.PA,Airbus SE,EUR,Industrials,Aerospace & Defense,155494268928.0,26.125002,22.55079,6.009605,17.322,1.63,3128750080.0,0.23193,0.03131,0.07714,0.113570005,54.988,1.258,0.277,7.52,8.71189,"Airbus SE, together with its subsidiaries, engages in the design, manufacture, and delivery of aeronautics and aerospace products, services, and solutions worldwide. It operates through three segments: Airbus, Airbus Helicopters, and Airbus Defence and Space. The Airbus segment develops, manufactures, markets, and sells commercial jet passenger aircraft, freighter aircraft, regional turboprop aircraft, and aircraft components, as well as provides aircraft conversion and related services. The Airbus Helicopters segment develops, manufactures, markets, and sells civil and military helicopters; and provides uncrewed aerial systems and their related services. The Airbus Defence and Space segment designs, develops, delivers, and supports crewed and uncrewed military air systems and related services. This segment also offers civil and defence space systems for telecommunications, earth observations, navigation, and science and orbital systems; and services around data processing from platforms, secure communication, and cyber security. The company was formerly known as Airbus Group SE and changed its name to Airbus SE in April 2017. The company was incorporated in 1998 and is headquartered in Leiden, the Netherlands."
