ticker,name,saa_class,esg,domicile,distribution,region,source
IBTM.AS,iShares $ Treasury Bond 7-10yr UCITS,govt_bonds_global,False,IE,acc,US,equitydb2
IGLO.L,iShares Global Govt Bond UCITS,govt_bonds_global,False,IE,dist,Global,equitydb2
EUNH.DE,iShares EUR HY Corp Bond UCITS,credit_hy,False,IE,acc,Europe,equitydb2
SEUH.PA,Lyxor Euro Government Bond 1-3Y,govt_bonds_eur_short,False,LU,acc,Europe,equitydb2
LYXIB.PA,Lyxor Euro Inflation-Linked,inflation_linked,False,LU,acc,Europe,equitydb2
SWDA.L,iShares Core MSCI World UCITS GBP,equity_developed,False,IE,acc,Global,equitydb2
VWRL.L,Vanguard FTSE All-World UCITS Dist,equity_developed,False,IE,dist,Global,equitydb2
VWRP.L,Vanguard FTSE All-World UCITS Acc,equity_developed,False,IE,acc,Global,equitydb2
ISF.L,iShares Core FTSE 100 UCITS,equity_developed,False,IE,dist,UK,equitydb2
IWDP.L,iShares Developed Markets Property Yield UCITS,real_estate,False,IE,dist,Global,equitydb2
PHGP.L,WisdomTree Physical Gold GBP,gold,False,JE,none,Global,equitydb2
PHAU.L,WisdomTree Physical Gold USD,gold,False,JE,none,Global,equitydb2
GBSE.DE,WisdomTree Physical Gold EUR Daily Hedged,gold,False,JE,none,Global,equitydb2
XAD1.DE,Xtrackers Physical Gold EUR Hedged ETC,gold,False,JE,none,Global,equitydb2
PHAG.L,WisdomTree Physical Silver,alternatives,False,JE,none,Global,equitydb2
LQDE.L,iShares USD Investment Grade Corp UCITS,credit_ig_global,False,IE,dist,US,equitydb2
SHYU.L,iShares USD High Yield Corp UCITS,credit_hy,False,IE,dist,US,equitydb2
IDTL.L,iShares USD Treasury 7-10yr UCITS GBP,govt_bonds_global,False,IE,dist,US,equitydb2
XMME.DE,Xtrackers MSCI Emerging Markets UCITS,equity_emerging,False,IE,acc,EM,equitydb2
XESC.DE,Xtrackers EURO STOXX 50 UCITS,equity_developed,False,IE,acc,Europe,equitydb2
RS2K.PA,Amundi Russell 2000 UCITS,equity_developed,False,LU,acc,US,equitydb2
MWO.PA,Amundi MSCI World UCITS Dist,equity_developed,False,LU,dist,Global,equitydb2
EXS2.DE,iShares EURO STOXX 50 UCITS,equity_developed,False,DE,dist,Europe,equitydb2
EXSI.DE,iShares STOXX Europe Mid 200 UCITS,equity_developed,False,DE,dist,Europe,equitydb2
IUUT.L,iShares S&P 500 Utilities Sector UCITS,infrastructure,False,IE,acc,US,equitydb2
EXH3.DE,iShares STOXX Europe 600 Utilities UCITS,infrastructure,False,DE,dist,Europe,equitydb2
BTCE.DE,ETC Group BTCetc Bitcoin Exchange Traded Crypto,crypto,False,DE,acc,Global,equitydb2
ZETH.DE,ETC Group Ethereum Exchange Traded Crypto,crypto,False,DE,acc,Global,equitydb2
BTC.L,WisdomTree Physical Bitcoin,crypto,False,JE,acc,Global,equitydb2
ETH.L,WisdomTree Physical Ethereum,crypto,False,JE,acc,Global,equitydb2
IJPN.L,iShares Core MSCI Japan IMI UCITS,equity_developed,False,IE,acc,Japan,equitydb2
IEAG.L,iShares Core Global Aggregate Bond UCITS,global_agg_hedged,False,IE,acc,Global,equitydb2
IEMB.L,iShares J.P. Morgan USD EM Bond UCITS,bonds_em,False,IE,dist,EM,equitydb2
EUNA.DE,iShares Core Euro Govt Bond UCITS,govt_bonds_eur,False,IE,acc,Europe,equitydb2
EMHE.L,iShares Euro High Yield Corporate Bond UCITS,credit_hy,False,IE,acc,Europe,equitydb2
VAGP.L,Vanguard Global Aggregate Bond UCITS,global_agg_hedged,False,IE,acc,Global,equitydb2
AIGC.L,WisdomTree Enhanced Commodity UCITS,alternatives,False,IE,acc,Global,equitydb2
COPA.L,WisdomTree Copper,alternatives,False,JE,acc,Global,equitydb2
CRUD.L,WisdomTree WTI Crude Oil,alternatives,False,JE,acc,Global,equitydb2
IUSP.L,iShares US Property Yield UCITS,real_estate,False,IE,dist,US,equitydb2
IPRP.L,iShares European Property Yield UCITS,real_estate,False,IE,dist,Europe,equitydb2
SUUS.L,iShares MSCI USA ESG Screened UCITS,equity_developed,True,IE,acc,US,equitydb2
SUSW.L,iShares MSCI World ESG Screened UCITS,equity_developed,True,IE,acc,Global,equitydb2
SUWS.L,iShares MSCI World SRI UCITS,equity_developed,True,IE,acc,Global,equitydb2
SUSM.L,iShares MSCI EM SRI UCITS,equity_emerging,True,IE,acc,EM,equitydb2
SUSE.L,iShares MSCI Europe SRI UCITS,equity_developed,True,IE,acc,Europe,equitydb2
SUAS.L,iShares MSCI USA SRI UCITS,equity_developed,True,IE,acc,US,equitydb2
EPAB.L,iShares MSCI Europe Climate Paris Aligned UCITS,equity_developed,True,IE,acc,Europe,equitydb2
IBGS.L,iShares Core Euro Govt Bond 1-3yr UCITS,govt_bonds_eur_short,False,IE,acc,Europe,equitydb2
IBGM.L,iShares Core Euro Govt Bond 7-10yr UCITS,govt_bonds_eur,False,IE,acc,Europe,equitydb2
IGLT.L,iShares Core UK Gilts UCITS,govt_bonds_global,False,IE,acc,UK,equitydb2
INXG.L,iShares GBP Index-Linked Gilts UCITS,inflation_linked,False,IE,acc,UK,equitydb2
TIPS.L,iShares USD TIPS UCITS,inflation_linked,False,IE,acc,US,equitydb2
STHE.L,iShares EUR Inflation Linked Govt Bond UCITS,inflation_linked,False,IE,acc,Europe,equitydb2
JREU.L,iShares J.P. Morgan EUR EM Bond UCITS,bonds_em,False,IE,acc,EM,equitydb2
LQGH.L,iShares USD IG Corp Bond Hedged UCITS,credit_ig_global,False,IE,acc,US,equitydb2
CRPS.L,iShares Euro Corp Bond Large Cap UCITS,credit_ig_eur,False,IE,acc,Europe,equitydb2
SGLN.L,iShares Physical Gold ETC,gold,False,JE,acc,Global,equitydb2
SSLN.L,iShares Physical Silver ETC,alternatives,False,JE,acc,Global,equitydb2
IPLT.L,iShares Physical Platinum ETC,alternatives,False,JE,acc,Global,equitydb2
IPDM.L,iShares Physical Palladium ETC,alternatives,False,JE,acc,Global,equitydb2
VUKE.L,Vanguard FTSE 100 UCITS,equity_developed,False,IE,acc,UK,equitydb2
VMID.L,Vanguard FTSE 250 UCITS,equity_developed,False,IE,acc,UK,equitydb2
VFEM.L,Vanguard FTSE Emerging Markets UCITS,equity_emerging,False,IE,acc,EM,equitydb2
VJPN.L,Vanguard FTSE Japan UCITS,equity_developed,False,IE,acc,Japan,equitydb2
VNRT.L,Vanguard FTSE North America UCITS,equity_developed,False,IE,acc,US,equitydb2
VEUR.L,Vanguard FTSE Developed Europe UCITS,equity_developed,False,IE,acc,Europe,equitydb2
VECP.L,Vanguard EUR Corporate Bond UCITS,credit_ig_eur,False,IE,acc,Europe,equitydb2
VUTY.L,Vanguard USD Treasury Bond UCITS,govt_bonds_global,False,IE,acc,US,equitydb2
VGOV.L,Vanguard UK Gilt UCITS,govt_bonds_global,False,IE,acc,UK,equitydb2
VUCP.L,Vanguard USD Corporate Bond UCITS,credit_ig_global,False,IE,acc,US,equitydb2
VAGS.L,Vanguard Global Aggregate Bond UCITS GBP Hedged,global_agg_hedged,False,IE,acc,Global,equitydb2
PE500.PA,Amundi PEA S&P 500 UCITS,equity_developed,False,FR,acc,US,equitydb2
PAEEM.PA,Amundi PEA MSCI Emerging Markets UCITS,equity_emerging,False,FR,acc,EM,equitydb2
CRP.PA,Amundi MSCI Europe UCITS,equity_developed,False,LU,acc,Europe,equitydb2
CRB.PA,Amundi Bloomberg Equal-Weight Commodity UCITS,alternatives,False,LU,acc,Global,equitydb2
XDWD.DE,Xtrackers MSCI World UCITS 1C,equity_developed,False,IE,acc,Global,equitydb2
XMME.L,Xtrackers MSCI Emerging Markets UCITS,equity_emerging,False,IE,acc,EM,equitydb2
XDEW.DE,Xtrackers MSCI World Climate Transition UCITS,equity_developed,False,IE,acc,Global,equitydb2
XZW0.DE,Xtrackers MSCI World ESG UCITS,equity_developed,True,IE,acc,Global,equitydb2
XZWE.DE,Xtrackers MSCI Europe ESG UCITS,equity_developed,True,IE,acc,Europe,equitydb2
XDWU.DE,Xtrackers MSCI World Utilities UCITS,infrastructure,False,IE,acc,Global,equitydb2
DBXG.DE,Xtrackers II Eurozone Govt Bond UCITS,govt_bonds_eur,False,LU,acc,Europe,equitydb2
XGIG.L,Xtrackers II Global Govt Bond UCITS,govt_bonds_global,False,LU,acc,Global,equitydb2
XEON.DE,Xtrackers II EUR Overnight Rate Swap UCITS,cash,False,LU,acc,Europe,equitydb2
SPY5.L,SPDR S&P 500 UCITS,equity_developed,False,IE,acc,US,equitydb2
WTAI.L,SPDR MSCI World UCITS,equity_developed,False,IE,acc,Global,equitydb2
EMSM.L,SPDR MSCI EM Small Cap UCITS,equity_emerging,False,IE,acc,EM,equitydb2
USPY.L,SPDR S&P US Small Cap UCITS,equity_developed,False,IE,acc,US,equitydb2
WUTI.L,SPDR MSCI World Utilities UCITS,infrastructure,False,IE,acc,Global,equitydb2
SC0J.DE,Invesco S&P 500 UCITS,equity_developed,False,IE,acc,US,equitydb2
EQQQ.L,Invesco EQQQ Nasdaq-100 UCITS,equity_developed,False,IE,acc,US,equitydb2
SPXP.L,Invesco S&P 500 UCITS,equity_developed,False,IE,acc,US,equitydb2
SPXS.L,Invesco S&P 500 ESG UCITS,equity_developed,True,IE,acc,US,equitydb2
IEMA.L,Invesco MSCI Emerging Markets UCITS,equity_emerging,False,IE,acc,EM,equitydb2
CMOD.L,Invesco Bloomberg Commodity UCITS,alternatives,False,IE,acc,Global,equitydb2
PHPM.L,WisdomTree Physical Palladium,alternatives,False,JE,acc,Global,equitydb2
PHPT.L,WisdomTree Physical Platinum,alternatives,False,JE,acc,Global,equitydb2
AIGS.L,WisdomTree Agriculture,alternatives,False,JE,acc,Global,equitydb2
NGAS.L,WisdomTree Natural Gas,alternatives,False,JE,acc,Global,equitydb2
NICK.L,WisdomTree Nickel,alternatives,False,JE,acc,Global,equitydb2
ALUM.L,WisdomTree Aluminium,alternatives,False,JE,acc,Global,equitydb2
HMWO.L,HSBC MSCI World UCITS,equity_developed,False,IE,dist,Global,equitydb2
HMEM.L,HSBC MSCI EM UCITS,equity_emerging,False,IE,dist,EM,equitydb2
HMUS.L,HSBC MSCI USA UCITS,equity_developed,False,IE,dist,US,equitydb2
HMEU.L,HSBC MSCI Europe UCITS,equity_developed,False,IE,dist,Europe,equitydb2
HMJP.L,HSBC MSCI Japan UCITS,equity_developed,False,IE,dist,Japan,equitydb2
HPRD.L,HSBC FTSE EPRA Developed UCITS,real_estate,False,IE,dist,Global,equitydb2
JEST.DE,JPMorgan EUR Ultra-Short Income UCITS,cash,False,IE,acc,Europe,equitydb2
JREG.L,JPMorgan USD Ultra-Short Income UCITS,cash,False,IE,acc,US,equitydb2
JGRE.L,JPMorgan Global Research Enhanced Equity UCITS,equity_developed,False,IE,acc,Global,equitydb2
JREM.L,JPMorgan EM Research Enhanced Equity UCITS,equity_emerging,False,IE,acc,EM,equitydb2
TGBT.DE,VanEck iBoxx EUR Sovereign Diversified 1-10 UCITS,govt_bonds_eur,False,IE,acc,Europe,equitydb2
TCBT.DE,VanEck iBoxx EUR Corporates UCITS,credit_ig_eur,False,IE,acc,Europe,equitydb2
EWLD.PA,BNP Paribas Easy MSCI World UCITS,equity_developed,False,LU,acc,Global,equitydb2
EUE.L,BNP Paribas Easy MSCI Europe UCITS,equity_developed,False,LU,acc,Europe,equitydb2
ADOT.DE,21Shares Polkadot Staking ETP,crypto,False,CH,acc,Global,equitydb2
ASOL.DE,21Shares Solana Staking ETP,crypto,False,CH,acc,Global,equitydb2
21XL.DE,21Shares Chainlink ETP,crypto,False,CH,acc,Global,equitydb2
SUOE.L,,credit_ig_eur,,,,,extension
IEAC.L,,credit_ig_eur,,,,,extension
EUCR.DE,,credit_ig_eur,,,,,extension
SRIE.DE,,credit_ig_eur,,,,,extension
EBBB.L,,credit_ig_eur,,,,,extension
ECRP.L,,credit_ig_eur,,,,,extension
CBE3.DE,,credit_ig_eur,,,,,extension
IEBC.L,,credit_ig_eur,,,,,extension
XB4E.DE,,credit_ig_eur,,,,,extension
UEFD.DE,,credit_ig_eur,,,,,extension
EEXD.PA,,credit_ig_eur,,,,,extension
GRON.DE,,green_bonds,,,,,extension
EGRN.L,,green_bonds,,,,,extension
XGBE.DE,,green_bonds,,,,,extension
GRNB.L,,green_bonds,,,,,extension
EGRE.DE,,green_bonds,,,,,extension
IBGL.L,,govt_bonds_eur,,,,,extension
IBGX.L,,govt_bonds_eur,,,,,extension
SEGA.L,,govt_bonds_eur,,,,,extension
X03G.DE,,govt_bonds_eur,,,,,extension
MTH.PA,,govt_bonds_eur,,,,,extension
C53.PA,,govt_bonds_eur,,,,,extension
XGLE.DE,,govt_bonds_eur,,,,,extension
EM710.DE,,govt_bonds_eur,,,,,extension
IEGA.L,,govt_bonds_eur,,,,,extension
SEGA.DE,,govt_bonds_eur,,,,,extension
IBCI.DE,,inflation_linked,,,,,extension
XEIN.DE,,inflation_linked,,,,,extension
EMI.PA,,inflation_linked,,,,,extension
IL15.L,,inflation_linked,,,,,extension
GISG.L,,inflation_linked,,,,,extension
INFL.L,,inflation_linked,,,,,extension
AGGH.MI,,global_agg_hedged,,,,,extension
VAGF.L,,global_agg_hedged,,,,,extension
XBAE.DE,,global_agg_hedged,,,,,extension
GLAG.L,,global_agg_hedged,,,,,extension
AGGG.L,,global_agg_hedged,,,,,extension
VDTE.L,,global_agg_hedged,,,,,extension
CSH2.PA,,cash,,,,,extension
PST.PA,,cash,,,,,extension
ERNE.L,,cash,,,,,extension
ERNA.L,,cash,,,,,extension
ERND.L,,cash,,,,,extension
SMRT.DE,,cash,,,,,extension
C3M.PA,,cash,,,,,extension
MTA.PA,,govt_bonds_eur_short,,,,,extension
X13G.DE,,govt_bonds_eur_short,,,,,extension
DBXN.DE,,govt_bonds_eur_short,,,,,extension
IBGS.DE,,govt_bonds_eur_short,,,,,extension
EM13.DE,,govt_bonds_eur_short,,,,,extension
INFR.L,,infrastructure,,,,,extension
GIN.L,,infrastructure,,,,,extension
NFRA.L,,infrastructure,,,,,extension
GLIN.L,,infrastructure,,,,,extension
IFRA.L,,infrastructure,,,,,extension
MAGI.L,,infrastructure,,,,,extension
DH2O.L,,infrastructure,,,,,extension
GLGI.L,,infrastructure,,,,,extension
4GLD.DE,,gold,,,,,extension
EWG2.DE,,gold,,,,,extension
GZUR.SW,,gold,,,,,extension
ZGLD.SW,,gold,,,,,extension
OD7F.DE,,gold,,,,,extension
VZLD.SW,,gold,,,,,extension
MAFU.L,,alternatives,,,,,extension
DBMF.L,,alternatives,,,,,extension
TREN.L,,alternatives,,,,,extension
CTA.L,,alternatives,,,,,extension
ALTS.L,,alternatives,,,,,extension
LSAU.L,,alternatives,,,,,extension
ICOM.L,,alternatives,,,,,extension
COMF.L,,alternatives,,,,,extension
CMFP.L,,alternatives,,,,,extension
IAUP.L,,alternatives,,,,,extension
SPGP.L,,alternatives,,,,,extension
GDGB.L,,alternatives,,,,,extension
WCOB.L,,alternatives,,,,,extension
XDBC.DE,,alternatives,,,,,extension
SUJP.L,,equity_developed,,,,,extension
SRIW.DE,,equity_developed,,,,,extension
EESG.L,,equity_developed,,,,,extension
SAWD.L,,equity_developed,,,,,extension
PABW.L,,equity_developed,,,,,extension
WSRI.DE,,equity_developed,,,,,extension
EDMW.L,,equity_developed,,,,,extension
XZEC.DE,,equity_developed,,,,,extension
EEDS.L,,equity_developed,,,,,extension
XZEM.DE,,equity_emerging,,,,,extension
EMSR.L,,equity_emerging,,,,,extension
EGRA.L,,equity_emerging,,,,,extension
